cad_id,parent_id,pair_index,continuous_bypass_64d_native_brep_valid,continuous_bypass_64d_strict_brep_valid,continuous_bypass_64d_both_valid,continuous_bypass_64d_step_saved,continuous_bypass_64d_global_patch_mse,continuous_bypass_64d_surface_mse,continuous_bypass_64d_curved_mse,continuous_bypass_64d_planar_mse,continuous_bypass_64d_edge_mse,continuous_bypass_64d_nonfinite_patches,vq_8192_64d_random_native_brep_valid,vq_8192_64d_random_strict_brep_valid,vq_8192_64d_random_both_valid,vq_8192_64d_random_step_saved,vq_8192_64d_random_global_patch_mse,vq_8192_64d_random_surface_mse,vq_8192_64d_random_curved_mse,vq_8192_64d_random_planar_mse,vq_8192_64d_random_edge_mse,vq_8192_64d_random_nonfinite_patches,rvq_2x4096_64d_random_native_brep_valid,rvq_2x4096_64d_random_strict_brep_valid,rvq_2x4096_64d_random_both_valid,rvq_2x4096_64d_random_step_saved,rvq_2x4096_64d_random_global_patch_mse,rvq_2x4096_64d_random_surface_mse,rvq_2x4096_64d_random_curved_mse,rvq_2x4096_64d_random_planar_mse,rvq_2x4096_64d_random_edge_mse,rvq_2x4096_64d_random_nonfinite_patches
00066307_28655d45c4dc4e378db24d63_step_000,28655d45c4dc4e378db24d63,0,True,True,True,True,1.9782299204962328e-05,5.914494613534771e-05,9.931932436302304e-05,6.6092297856812365e-06,6.051142008800525e-06,0,True,True,True,True,0.00011375470057828352,0.00030308245914056897,0.0005047033191658556,3.942437979276292e-05,4.771015665028244e-05,0,True,True,True,True,8.195840928237885e-05,0.00022572292073164135,0.0003834275994449854,1.9493636500556022e-05,3.180802013957873e-05,0
00094558_0ea6b42282af322cf84de9f6_step_001,0ea6b42282af322cf84de9f6,1,True,True,True,True,5.20391540703713e-06,9.245076398656238e-06,1.283396704820916e-05,5.656186203850666e-06,3.81837526219897e-06,0,True,True,True,True,2.586211121524684e-05,4.516943954513408e-05,6.756658694939688e-05,2.2772292140871286e-05,1.9242455891799182e-05,0,True,True,True,True,2.5662140615168028e-05,4.2148309148615226e-05,6.283650873228908e-05,2.1460104107973166e-05,2.000973472604528e-05,0
00025294_1cf07fcd3c9543f9891c6541_step_003,1cf07fcd3c9543f9891c6541,2,True,True,True,True,5.3549683798337355e-06,1.0056256542156916e-05,1.5180038644757587e-05,5.664443051500712e-06,3.4450706607458415e-06,0,True,True,True,True,3.431325967540033e-05,5.073477950645611e-05,8.15486055216752e-05,2.4322927856701426e-05,2.7642014174489304e-05,0,True,True,True,True,2.524036062823143e-05,3.197454134351574e-05,4.385937063489109e-05,2.1787544028484263e-05,2.2504609660245478e-05,0
00062859_49e91e08b7e245a19d4746f2_step_000,49e91e08b7e245a19d4746f2,3,True,True,True,True,7.419911071337992e-06,1.577381044626236e-05,2.0679221051977947e-05,5.962986506347079e-06,4.382129645819077e-06,0,True,True,True,True,4.173684283159673e-05,8.798023918643594e-05,0.00011359254858689383,3.675561674754135e-05,2.4921057047322392e-05,0,True,True,True,True,3.660446600406431e-05,9.455971303395927e-05,0.00013391369429882616,1.5851725038373843e-05,1.5529825759585947e-05,0
00054752_0184c3ca39c94850b2d318ef_step_000,0184c3ca39c94850b2d318ef,4,True,True,True,True,5.94262655795319e-06,8.01096211944241e-06,1.0692167961678933e-05,5.329755822458537e-06,5.115291969559621e-06,0,True,True,True,True,3.0495608370983973e-05,4.209793041809462e-05,5.110450365464203e-05,3.309135718154721e-05,2.5854684281512164e-05,0,True,True,True,True,2.2037120288587175e-05,3.3594802516745403e-05,4.9175159801961854e-05,1.8014447050518356e-05,1.7414047761121765e-05,0
00093612_ff1d07e0ce7a0e8af6a968e8_step_000,ff1d07e0ce7a0e8af6a968e8,5,False,False,False,True,3.934037886210717e-05,8.404699474340305e-05,0.0001889839768409729,1.8461372746969573e-05,2.1904797904426232e-05,0,False,False,False,True,0.00025751348584890366,0.0004989308654330671,0.0011698806192725897,7.958718197187409e-05,0.00016336071712430567,0,False,False,False,True,0.0001807026274036616,0.0003377865068614483,0.0007831863476894796,5.941160998190753e-05,0.00011943991557927802,0
00028117_97daece11acf4d7aa4dce06e_step_000,97daece11acf4d7aa4dce06e,6,True,True,True,True,5.96064273850061e-06,1.3406352991296444e-05,3.4527321986388415e-05,4.957964847562835e-06,3.0650885491922963e-06,0,True,True,True,True,3.118612585240044e-05,6.204313831403852e-05,0.0001709560601739213,1.8477969206287526e-05,1.918617454066407e-05,0,True,True,True,True,2.8729105906677432e-05,6.625313108088449e-05,0.00017622092855162919,2.226600918220356e-05,1.4136432582745329e-05,0
00058174_7a6e01fafd7e49ff83747fbc_step_000,7a6e01fafd7e49ff83747fbc,7,True,True,True,True,0.00013304843741934747,0.0004445173544809222,0.0008824365213513374,6.59820216242224e-06,4.164738129475154e-06,0,True,True,True,True,0.0022632689215242863,0.007621011231094599,0.015214902348816395,2.7120191589347087e-05,4.6272030886029825e-05,0,True,True,True,True,0.0012695814948529005,0.004271198064088821,0.008516822010278702,2.5573530365363695e-05,2.7533229513210244e-05,0
00013998_2a899e196c7f4c74b63a568f_step_001,2a899e196c7f4c74b63a568f,8,True,True,True,True,6.665666205663001e-06,1.2603611139638815e-05,1.3628924534714315e-05,1.2193489055789541e-05,3.894625024258858e-06,0,True,True,True,True,2.9572418497991748e-05,6.217315240064636e-05,5.411289384937845e-05,6.539725291077048e-05,1.4358741282194387e-05,0,True,True,True,True,2.4502602173015475e-05,4.778093352797441e-05,3.645342803793028e-05,5.2311930630821735e-05,1.3639387361763511e-05,0
00094259_b8aef52e624b95f2186bac46_step_000,b8aef52e624b95f2186bac46,9,True,True,True,True,9.919343028741423e-06,2.3364624212263152e-05,3.0015440643182956e-05,6.737584044458345e-06,4.6906225179554895e-06,0,True,True,True,True,8.190144581021741e-05,0.00020736848819069564,0.0002783154195640236,3.0001101549714804e-05,3.310871034045704e-05,0,True,True,True,True,6.163299985928461e-05,0.00016654949286021292,0.00022165020345710218,2.879765088437125e-05,2.0832163500017487e-05,0
00022263_295837f17fa84514a64dd1d0_step_000,295837f17fa84514a64dd1d0,10,True,True,True,True,7.960400580486748e-06,1.984164737223182e-05,4.778338552569039e-05,6.606083388760453e-06,3.274839855293976e-06,0,True,True,True,True,3.685674164444208e-05,7.54631037125364e-05,0.00016366626368835568,3.3682663342915475e-05,2.163169119739905e-05,0,True,True,True,True,3.0221894121496007e-05,6.706968997605145e-05,0.00017322602798230946,1.6785115803941153e-05,1.5690366126364097e-05,0
00051602_7f1947595ae247e0a4a32f43_step_000,7f1947595ae247e0a4a32f43,11,False,False,False,True,0.0008657411672174931,0.0009596224408596754,0.0013026715023443103,1.6237841919064522e-05,0.0008296329178847373,0,,False,False,False,0.004201533738523722,0.006474392022937536,0.008805514313280582,6.38046840322204e-05,0.00332735781557858,0,False,False,False,True,0.0034596999175846577,0.004697676282376051,0.006371232680976391,9.53966737142764e-05,0.0029835551977157593,0
00019270_24850bfcb0244cdc90272395_step_000,24850bfcb0244cdc90272395,12,True,True,True,True,3.35564300257829e-06,7.107668807293521e-06,,7.107668807293521e-06,1.8548321349953767e-06,0,True,True,True,True,1.6927337128436193e-05,3.5762950574280694e-05,,3.5762950574280694e-05,9.393092113896273e-06,0,True,True,True,True,5.8026748774864245e-06,1.2846084246120881e-05,,1.2846084246120881e-05,2.985312221426284e-06,0
00085351_04f486b5f5add93c1cc93423_step_001,04f486b5f5add93c1cc93423,13,True,True,True,True,4.835440449824091e-06,8.45025533635635e-06,1.1101971722382586e-05,6.682443654426606e-06,3.192343228874961e-06,0,True,True,True,True,2.4340733943972737e-05,4.3242449464742094e-05,7.961561641423032e-05,1.8993667254108004e-05,1.5749044905533083e-05,0,True,True,True,True,1.3141218914825004e-05,2.8633952751988545e-05,4.131478272029199e-05,2.0180064893793315e-05,6.099066922615748e-06,0
00063603_02451900b6324f6aa2c2c262_step_000,02451900b6324f6aa2c2c262,14,True,True,True,True,3.5081288842775393e-06,6.747439783794107e-06,1.2676216101681348e-05,4.37592916568974e-06,2.248396867798874e-06,0,True,True,True,True,2.0665676856879145e-05,3.9484952139901e-05,9.644134115660563e-05,1.6702391803846695e-05,1.3347073036129586e-05,0,True,True,True,True,1.4479093806585297e-05,2.2696942323818803e-05,4.938619531458244e-05,1.2021242582704872e-05,1.1283261301286984e-05,0
00033086_9412b644af2240c3ab6b6248_step_001,9412b644af2240c3ab6b6248,15,True,True,True,True,6.996415322646499e-06,1.2155992408224847e-05,1.2722261999442708e-05,9.51339188759448e-06,4.803594947588863e-06,0,True,True,True,True,3.272883259342052e-05,6.548449164256454e-05,7.497336628148332e-05,2.120310819009319e-05,1.8807677406584844e-05,0,True,True,True,True,2.2171183445607312e-05,4.04504025937058e-05,4.442626595846377e-05,2.1896375983487815e-05,1.4402515262190718e-05,0
