arm,cad_id,parent_id,calibration_status,audit_status,step_saved,native_brep_valid,strict_brep_valid,both_valid,global_patch_mse,surface_mse,curved_mse,planar_mse,edge_mse,nonfinite_patches
vq_4096_64d_random,00066307_28655d45c4dc4e378db24d63_step_000,28655d45c4dc4e378db24d63,saved,audited,True,True,True,True,0.0004057644691783935,0.0010460074990987778,0.0017259849701076746,0.00015680622891522944,0.0001824239152483642,0
vq_4096_64d_random,00094558_0ea6b42282af322cf84de9f6_step_001,0ea6b42282af322cf84de9f6,saved,audited,True,True,True,True,5.6550219596829265e-05,0.00015380508557427675,0.0002651253598742187,4.248475670465268e-05,2.3205708203022368e-05,0
vq_4096_64d_random,00025294_1cf07fcd3c9543f9891c6541_step_003,1cf07fcd3c9543f9891c6541,saved,audited,True,True,True,True,7.288756023626775e-05,0.00016794710245449096,0.00028054387075826526,7.143558468669653e-05,3.426961484365165e-05,0
vq_4096_64d_random,00062859_49e91e08b7e245a19d4746f2_step_000,49e91e08b7e245a19d4746f2,saved,audited,True,True,True,True,0.0001611938641872257,0.0004535458574537188,0.0006593229481950402,4.1991821490228176e-05,5.488406168296933e-05,0
vq_4096_64d_random,00054752_0184c3ca39c94850b2d318ef_step_000,0184c3ca39c94850b2d318ef,saved,audited,True,True,True,True,7.222039857879281e-05,0.00018525410268921405,0.00030069713830016553,6.981112528592348e-05,2.700690492929425e-05,0
vq_4096_64d_random,00093612_ff1d07e0ce7a0e8af6a968e8_step_000,ff1d07e0ce7a0e8af6a968e8,assembly_error,no_step,False,,False,False,0.0005147493211552501,0.000764544412959367,0.0014438927173614502,0.0003399518027435988,0.0004173292254563421,0
vq_4096_64d_random,00028117_97daece11acf4d7aa4dce06e_step_000,97daece11acf4d7aa4dce06e,brep_invalid,audited,True,False,False,False,0.00017001286323647946,0.0005284622311592102,0.0017852910095825791,2.5730701963766478e-05,3.0615905416198075e-05,0
vq_4096_64d_random,00058174_7a6e01fafd7e49ff83747fbc_step_000,7a6e01fafd7e49ff83747fbc,saved,audited,True,True,True,True,0.0003635169705376029,0.001098907901905477,0.0020809415727853775,0.00011687423102557659,5.9217290981905535e-05,0
vq_4096_64d_random,00013998_2a899e196c7f4c74b63a568f_step_001,2a899e196c7f4c74b63a568f,saved,audited,True,True,True,True,0.00023338641040027142,0.0006534892017953098,0.00024589375243522227,0.0008165274630300701,3.7338410038501024e-05,0
vq_4096_64d_random,00094259_b8aef52e624b95f2186bac46_step_000,b8aef52e624b95f2186bac46,saved,audited,True,True,True,True,0.00012683328532148153,0.00035567820305004716,0.0004552560276351869,0.00010673358337953687,3.7838082789676264e-05,0
vq_4096_64d_random,00022263_295837f17fa84514a64dd1d0_step_000,295837f17fa84514a64dd1d0,saved,audited,True,True,True,True,9.480901644565165e-05,0.0002473743224982172,0.0006237502675503492,6.909096555318683e-05,3.4642405807971954e-05,0
vq_4096_64d_random,00051602_7f1947595ae247e0a4a32f43_step_000,7f1947595ae247e0a4a32f43,brep_invalid,audited,True,False,False,False,0.004564131144434214,0.004786819219589233,0.006455418188124895,0.00019817241991404444,0.004478482063859701,0
vq_4096_64d_random,00019270_24850bfcb0244cdc90272395_step_000,24850bfcb0244cdc90272395,saved,audited,True,True,True,True,1.9617853467934765e-05,5.195719131734222e-05,,5.195719131734222e-05,6.682118055323372e-06,0
vq_4096_64d_random,00085351_04f486b5f5add93c1cc93423_step_001,04f486b5f5add93c1cc93423,saved,audited,True,True,True,True,0.00010617416410241276,0.0003017885610461235,0.000695766240824014,3.9136753912316635e-05,1.7258540538023226e-05,0
vq_4096_64d_random,00063603_02451900b6324f6aa2c2c262_step_000,02451900b6324f6aa2c2c262,brep_invalid,audited,True,False,False,False,5.369161590351723e-05,0.00015487959899473935,0.0004447175597306341,3.894439578289166e-05,1.4340744201035704e-05,0
vq_4096_64d_random,00033086_9412b644af2240c3ab6b6248_step_001,9412b644af2240c3ab6b6248,saved,audited,True,True,True,True,0.00015037714911159128,0.0003362789866514504,0.00039857689989730716,4.555542909656651e-05,7.136884232750162e-05,0
vq_4096_64d_random,00098452_bfab08be45c79c7628312c2f_step_000,bfab08be45c79c7628312c2f,saved,audited,True,True,True,True,0.0006743820267729461,0.0001069077625288628,0.00013315862452145666,7.190660835476592e-05,0.0009581190533936024,0
vq_4096_64d_random,00030409_d4832457062d4a429daacc20_step_000,d4832457062d4a429daacc20,brep_invalid,audited,True,False,False,False,0.0006673440802842379,0.00045368054998107255,0.0007486045360565186,0.00011853963951580226,0.0007629840401932597,0
vq_4096_64d_random,00099781_56d5a9a4e4b02da21ba14586_step_000,56d5a9a4e4b02da21ba14586,saved,audited,True,True,True,True,9.345144644612446e-05,0.00029155606171116233,0.0005392872262746096,4.382491169963032e-05,1.420960597897647e-05,0
vq_4096_64d_random,00029780_a4788d5955c04fe1886666b7_step_000,a4788d5955c04fe1886666b7,brep_invalid,audited,True,False,False,False,0.00016363679606001824,0.00025457635638304055,6.73288814141415e-05,0.00025864693452604115,0.00012406126188579947,0
vq_4096_64d_random,00053623_a17f8fdc818840b0b93ccf9e_step_000,a17f8fdc818840b0b93ccf9e,saved,audited,True,True,True,True,0.00020430676522664726,0.0005956301465630531,0.0009170219418592751,0.00011354249727446586,4.125535997445695e-05,0
vq_4096_64d_random,00000444_4ed4c78d6d754aac90876fc2_step_003,4ed4c78d6d754aac90876fc2,brep_invalid,audited,True,False,False,False,5.048867387813516e-05,0.00015220290515571833,0.0002455389767419547,0.00011486848234198987,1.4888700206938665e-05,0
vq_4096_64d_random,00037452_8ca2379d1f164603b5fc0f71_step_000,8ca2379d1f164603b5fc0f71,saved,audited,True,True,True,True,0.0002135033719241619,0.0001948402205016464,0.000523664930369705,0.00012561393668875098,0.0002214524574810639,0
vq_4096_64d_random,00006371_3fd9de0ad042479b8b17d3cc_step_000,3fd9de0ad042479b8b17d3cc,brep_invalid,audited,True,False,False,False,3.313851630082354e-05,4.4117092329543084e-05,,4.4117092329543084e-05,2.8564109015860595e-05,0
vq_4096_64d_random,00023412_6e7c64361943421e9f4ebbdd_step_000,6e7c64361943421e9f4ebbdd,saved,audited,True,False,True,False,0.0011205326300114393,0.003827339969575405,0.012071711011230946,7.98984692664817e-05,7.694438681937754e-05,0
vq_4096_64d_random,00040516_91d64014ed984f1ab80c2540_step_000,91d64014ed984f1ab80c2540,saved,audited,True,True,True,True,4.684253508457914e-05,0.00010592846956569701,0.00013119426148477942,8.697912562638521e-05,2.099243283737451e-05,0
vq_4096_64d_random,00026168_a368bf89a777429eb28641e3_step_000,a368bf89a777429eb28641e3,saved,audited,True,True,True,True,0.0013845894718542695,0.0046205343678593636,0.005764691159129143,4.390640970086679e-05,3.6279172491049394e-05,0
vq_4096_64d_random,00050336_ebe3681766c14dec85c4ffd6_step_000,ebe3681766c14dec85c4ffd6,saved,audited,True,True,True,True,0.00018712785094976425,0.0004166315484326333,0.0010176434880122542,7.31962572899647e-05,0.00010297645349055529,0
vq_4096_64d_random,00093480_56ca6c21e4b0747e94b5fd0c_step_000,56ca6c21e4b0747e94b5fd0c,saved,audited,True,True,True,True,0.002441585063934326,0.007112134248018265,0.008600177243351936,0.00016792949463706464,0.00010631058103172109,0
vq_4096_64d_random,00044862_20ff2d12baed4ba699895a12_step_000,20ff2d12baed4ba699895a12,brep_invalid,audited,True,False,False,False,2.4793429474812e-05,3.5907090932596475e-05,,3.5907090932596475e-05,2.047145062533673e-05,0
vq_4096_64d_random,00061931_dcdd8a95feac4121adfd341f_step_000,dcdd8a95feac4121adfd341f,brep_invalid,audited,True,False,False,False,0.009861962869763374,0.023294907063245773,0.033208735287189484,0.0009888064814731479,0.005011177156120539,0
vq_4096_64d_random,00067160_2a27016aa44f42c69c1079f7_step_000,2a27016aa44f42c69c1079f7,brep_invalid,audited,True,False,False,False,0.0010207175510004163,0.0023102518171072006,0.0029608674813061953,0.0012042050948366523,0.000568543269764632,0
vq_4096_64d_random,00015417_0bf937b21a0d4774a719e6be_step_000,0bf937b21a0d4774a719e6be,saved,audited,True,True,True,True,0.00020795354794245213,0.000282841210719198,0.00031238136580213904,4.652029019780457e-05,0.00017987067985814065,0
vq_4096_64d_random,00089752_f46bd660f6d729ad341d926a_step_000,f46bd660f6d729ad341d926a,saved,audited,True,True,True,True,0.0006743840640410781,0.002245527459308505,0.007551143411546946,0.00012328126467764378,6.338385719573125e-05,0
vq_4096_64d_random,00009210_d7c86b5627294c37b96f2b2a_step_001,d7c86b5627294c37b96f2b2a,brep_invalid,audited,True,False,False,False,0.0056152790784835815,0.010746357031166553,0.015131310559809208,0.00022246676962822676,0.0032577598467469215,0
vq_4096_64d_random,00018216_8ebdfa79f4f84261bbc10711_step_000,8ebdfa79f4f84261bbc10711,saved,audited,True,True,True,True,9.827319445321336e-05,0.00030535197583958507,0.0014003501273691654,3.1602452509105206e-05,1.8627511963131838e-05,0
vq_4096_64d_random,00042715_01a17b1a063e40428f287d0c_step_000,01a17b1a063e40428f287d0c,brep_invalid,audited,True,False,False,False,7.178454688983038e-05,0.00021478216513060033,0.0004531921586021781,6.719503289787099e-05,2.1139558157301508e-05,0
vq_4096_64d_random,00089531_2fbe1cb926b52e6698a2f1f2_step_000,2fbe1cb926b52e6698a2f1f2,saved,audited,True,False,True,False,0.00042571418453007936,0.0004810990940313786,0.0011119021801277995,0.00031412183307111263,0.00040681299287825823,0
vq_4096_64d_random,00064437_87571c97a736487da9c4462d_step_000,87571c97a736487da9c4462d,saved,audited,True,True,True,True,0.0001862645149230957,0.00047425474622286856,0.0010177759686484933,3.943779302062467e-05,7.826815999578685e-05,0
vq_4096_64d_random,00070919_7b5d23e3b3174924a75859ea_step_000,7b5d23e3b3174924a75859ea,saved,audited,True,True,True,True,3.9380331145366654e-05,0.00012544897617772222,,0.00012544897617772222,6.592278168682242e-06,0
vq_4096_64d_random,00021272_8b0d4dace1064d53a394f654_step_000,8b0d4dace1064d53a394f654,saved,audited,True,True,True,True,0.0007949987193569541,0.0009415198001079261,0.0009989053942263126,0.0008103529689833522,0.0007348202052526176,0
vq_4096_64d_random,00032137_9241ce05bc07477694e6c966_step_000,9241ce05bc07477694e6c966,brep_invalid,audited,True,False,False,False,0.0009347494342364371,0.001923209521919489,0.0028000548481941223,0.000545308634173125,0.0004538771463558078,0
vq_4096_64d_random,00044266_cb4fe2bf7cc14277b03e550e_step_000,cb4fe2bf7cc14277b03e550e,brep_invalid,audited,True,True,False,False,0.00047188031021505594,0.0012154948199167848,0.001465635490603745,4.81725437566638e-05,7.683507283218205e-05,0
vq_4096_64d_random,00046632_476e50ea8a1a4f4a92a48363_step_000,476e50ea8a1a4f4a92a48363,brep_invalid,audited,True,False,False,False,0.0006627679103985429,0.0013790121302008629,0.0017246714560315013,0.0005494299111887813,0.00039218677557073534,0
vq_4096_64d_random,00040705_29efdbc3841d4e90b008be17_step_000,29efdbc3841d4e90b008be17,brep_invalid,audited,True,False,False,False,0.005272000562399626,0.005126288626343012,0.007037181872874498,3.057310459553264e-05,0.005344856530427933,0
vq_4096_64d_random,00053399_b8b0d7d11a0745ff88f0c9f8_step_000,b8b0d7d11a0745ff88f0c9f8,saved,audited,True,True,True,True,5.836141644977033e-05,0.00012096379941795021,0.00015829915355425328,5.873822738067247e-05,3.7049976526759565e-05,0
vq_4096_64d_random,00029576_9fda70814b4b49a7b7711b0a_step_000,9fda70814b4b49a7b7711b0a,saved,audited,True,True,True,True,1.674377745075617e-05,4.2197581933578476e-05,,4.2197581933578476e-05,6.441045115934685e-06,0
vq_4096_64d_random,00058806_ff012a6d72d24a3b8cdad1bf_step_000,ff012a6d72d24a3b8cdad1bf,saved,audited,True,True,True,True,0.00021610085968859494,0.00041661126306280494,0.0003928931546397507,0.0004202602431178093,0.00014448999718297273,0
vq_4096_64d_random,00082652_163ee4579a5b5c47a5204727_step_000,163ee4579a5b5c47a5204727,saved,audited,True,True,True,True,0.00017281477630604059,0.0002890317118726671,0.0003291894099675119,4.808547964785248e-05,0.00011180094588780776,0
vq_4096_64d_random,00062455_47888b68dba146bf8ea154b6_step_000,47888b68dba146bf8ea154b6,brep_invalid,audited,True,False,False,False,3.232490780646913e-05,6.426571781048551e-05,0.00020024151308462024,2.7181406039744616e-05,1.954858271346893e-05,0
vq_4096_64d_random,00023833_c23fa8ad3116430083224a5a_step_000,c23fa8ad3116430083224a5a,saved,audited,True,True,True,True,4.5289423724170774e-05,0.00010025076335296035,0.00012844384764321148,4.3864620238309726e-05,1.780875027179718e-05,0
vq_4096_64d_random,00082964_9042b554b64fd2c8ff358a40_step_000,9042b554b64fd2c8ff358a40,saved,audited,True,True,True,True,4.142818215768784e-05,0.00010870919504668564,0.00022908678511157632,7.861479389248416e-05,1.451577918487601e-05,0
vq_4096_64d_random,00053039_8abed53813ef4811b9c9999c_step_000,8abed53813ef4811b9c9999c,saved,audited,True,True,True,True,0.00011004546104231849,0.000346036977134645,0.0004341639578342438,9.42455735639669e-05,2.1548641598201357e-05,0
vq_4096_64d_random,00034477_37339e3612864099b9b536c0_step_000,37339e3612864099b9b536c0,brep_invalid,audited,True,False,False,False,0.0003769893082790077,0.0009346276638098061,0.0015919654397293925,0.0001577740622451529,0.00017421178927179426,0
vq_4096_64d_random,00017804_f80310b7c47d496abd4a42be_step_000,f80310b7c47d496abd4a42be,saved,audited,True,True,True,True,8.35130485938862e-05,0.00024823835701681674,,0.00024823835701681674,1.673249244049657e-05,0
vq_4096_64d_random,00021066_91bd70c7097c490fa4b489b1_step_000,91bd70c7097c490fa4b489b1,saved,audited,True,False,True,False,3.389942503417842e-05,0.00010136881610378623,0.0004351394309196621,6.210169522091746e-05,8.261064067482948e-06,0
vq_4096_64d_random,00057726_dd809fd4840842098bdc4775_step_000,dd809fd4840842098bdc4775,brep_invalid,audited,True,False,False,False,0.00046103104250505567,0.0012462518643587828,0.0013322326121851802,0.00021448064944706857,6.84206752339378e-05,0
vq_4096_64d_random,00008471_110e9b58ba504fd681a14cb0_step_003,110e9b58ba504fd681a14cb0,saved,audited,True,True,True,True,0.000277817394817248,0.0005071523482911289,0.0006392603390850127,0.00046940724132582545,0.00019181678362656385,0
vq_4096_64d_random,00032004_b91639b3cc4b41c7bf6a854d_step_000,b91639b3cc4b41c7bf6a854d,assembly_error,no_step,False,,False,False,0.0012668761191889644,0.00298622390255332,0.0041980985552072525,0.00021622449276037514,0.0004598353407345712,0
vq_4096_64d_random,00099234_56d5306be4b0a5e7b6f734b6_step_000,56d5306be4b0a5e7b6f734b6,saved,audited,True,True,True,True,0.0001564422418596223,0.00045545079046860337,0.0007338863215409219,9.13429248612374e-05,4.431403067428619e-05,0
vq_4096_64d_random,00044572_2c4eb360300e42af81aa56ef_step_000,2c4eb360300e42af81aa56ef,saved,audited,True,True,True,True,0.001097637228667736,0.001666150870732963,0.004436171613633633,8.328175317728892e-05,0.0008616503910161555,0
vq_4096_64d_random,00040533_2e5a062663894807a5cb21fb_step_002,2e5a062663894807a5cb21fb,brep_invalid,audited,True,False,False,False,5.298745963955298e-05,0.0001019295523292385,0.0001385710493195802,7.750189251964912e-05,2.8516402380773798e-05,0
vq_4096_64d_random,00063055_e309c689b9b44f0686f47966_step_000,e309c689b9b44f0686f47966,saved,audited,True,False,True,False,0.0002751476422417909,0.00040137371979653835,0.000879232888109982,9.728153236210346e-05,0.00022970624559093267,0
vq_4096_64d_random,00073885_dab27e634677416083de7a51_step_003,dab27e634677416083de7a51,saved,audited,True,True,True,True,0.0037923031486570835,0.0009193269070237875,0.002020555781200528,0.0004298917774576694,0.004829766694456339,0
vq_4096_64d_random,00072557_085af6b71b01489cae846c20_step_000,085af6b71b01489cae846c20,brep_invalid,audited,True,False,False,False,0.003470605006441474,0.0052490453235805035,0.009415657259523869,0.0002491105697117746,0.002784188836812973,0
vq_4096_64d_random,00082071_e93c957f836d34e1e665f0bc_step_001,e93c957f836d34e1e665f0bc,saved,audited,True,False,True,False,0.00026906258426606655,0.0005738977924920619,0.0011716751614585519,0.00027500902069732547,0.0001547493739053607,0
vq_4096_64d_random,00041461_306bdd55d96446919ab49bf5_step_000,306bdd55d96446919ab49bf5,saved,audited,True,False,True,False,0.00025674060452729464,0.0008066970040090382,0.0017532631754875183,6.296675564954057e-05,5.153296297066845e-05,0
vq_4096_64d_random,00076294_05622137065cf40a5bcffa79_step_000,05622137065cf40a5bcffa79,saved,audited,True,True,True,True,0.00010447552631376311,0.000180158342118375,0.00032017927151173353,9.614577720640227e-05,7.776394340908155e-05,0
vq_4096_64d_random,00099035_5bb58c4fffe22efa72d1057b_step_000,5bb58c4fffe22efa72d1057b,brep_invalid,audited,True,True,False,False,0.0002044255379587412,0.0003732192562893033,0.0008604356553405523,3.5915560147259384e-05,0.00013301278522703797,0
vq_4096_64d_random,00095863_0fdff2b55aeeabfa69ff33a2_step_000,0fdff2b55aeeabfa69ff33a2,brep_invalid,audited,True,False,False,False,4.431217166711576e-05,5.906269507249817e-05,,5.906269507249817e-05,3.855024988297373e-05,0
vq_4096_64d_random,00059512_4c602d653ee9437aa2550d0c_step_000,4c602d653ee9437aa2550d0c,saved,audited,True,True,True,True,0.00026577271637506783,0.00031174541800282896,0.0004466894024517387,8.683887426741421e-05,0.00024125394702423364,0
vq_4096_64d_random,00093498_78cd6150806188dafe1aec96_step_000,78cd6150806188dafe1aec96,brep_invalid,audited,True,False,False,False,2.3878686988609843e-05,6.806130113545805e-05,,6.806130113545805e-05,6.696556738461368e-06,0
vq_4096_64d_random,00010424_d3e28227a5914aa2a0542b72_step_000,d3e28227a5914aa2a0542b72,brep_invalid,audited,True,False,False,False,0.0024256273172795773,0.006585359573364258,0.008030669763684273,8.146459003910422e-05,0.0006312333280220628,0
vq_4096_64d_random,00056988_bbfee41efd6d47798ad0285c_step_000,bbfee41efd6d47798ad0285c,saved,audited,True,True,True,True,0.00024272619339171797,0.00042494648369029164,0.001491605886258185,0.00013403937919065356,0.00017186274635605514,0
