2026-07-17T10:52:40 watcher started; safe_root=D:\V13_rootcause_recovery_20260717 poll_seconds=300 max_gpu_memory_used_mib=2000
2026-07-17T10:52:40 will start D-drive BrepARG fallback only after recovered DFS/RCM eval reports exist and GPU is idle
2026-07-17T10:52:40 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7988
2026-07-17T10:57:40 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7976
2026-07-17T11:02:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7990
2026-07-17T11:07:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7883
2026-07-17T11:12:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7865
2026-07-17T11:17:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7863
2026-07-17T11:22:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7861
2026-07-17T11:27:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7863
2026-07-17T11:32:41 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7872
2026-07-17T11:37:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7871
2026-07-17T11:42:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7863
2026-07-17T11:47:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7861
2026-07-17T11:52:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7865
2026-07-17T11:57:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7862
2026-07-17T12:02:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7864
2026-07-17T12:07:42 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7863
2026-07-17T12:12:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7897
2026-07-17T12:17:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7934
2026-07-17T12:22:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7917
2026-07-17T12:27:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7918
2026-07-17T12:32:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7914
2026-07-17T12:37:43 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7922
2026-07-17T12:42:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7921
2026-07-17T12:47:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7930
2026-07-17T12:52:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7930
2026-07-17T12:57:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7932
2026-07-17T13:02:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8108
2026-07-17T13:07:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7996
2026-07-17T13:12:44 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=7941
2026-07-17T13:17:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8232
2026-07-17T13:22:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8347
2026-07-17T13:27:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8168
2026-07-17T13:32:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8186
2026-07-17T13:37:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8188
2026-07-17T13:42:45 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8186
2026-07-17T13:47:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8187
2026-07-17T13:52:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8186
2026-07-17T13:57:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8187
2026-07-17T14:02:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8185
2026-07-17T14:07:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8187
2026-07-17T14:12:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8186
2026-07-17T14:17:46 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8184
2026-07-17T14:22:47 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8187
2026-07-17T14:27:47 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8185
2026-07-17T14:32:47 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8208
2026-07-17T14:37:47 blocking_processes=3 summary_ready=False fresh_dfs_eval=False fresh_rcm_eval=False gpu_mem_mib=8209
